product_a_id,product_b_id,score,decision,name_a,name_b,brand_a,brand_b,retailer_a,retailer_b,price_a,price_b,dimension_a,dimension_b,explanation
462,3652,0.84,no_merge,EUDORA GLAM SOUL MÁSCARA CÍLIOS TURBO ULTRA RESISTENTE 10g - Volume e Definição - Pantenol - Resistência à Água e Suor - 11h de Duração - Preta,EUDORA GLAM Máscara Cílios Turbo 10g - Volume e Definição - Preta,eudora glam,eudora glam,amazon_br,amazon_br,4999,5490,10g,10g,brand_match:eudora glam; title_high:1.00; model_match:15x; size_ambiguous; color_match:preta; shade_match:preto; pack_match:13; category_exact; price_close; penalty:conflicting_global_identifier
630,642,0.84,no_merge,David Beckham Perfume True Instinct Eau de Parfum Masculino 75ml,David Beckham Perfume Instinct Eau de Parfum Masculino 75ml,david beckham,david beckham,amazon_br,amazon_br,9990,12862,75ml,75ml,brand_match:david beckham; title_high:1.00; size_ambiguous; pack_match:7; category_exact; penalty:conflicting_global_identifier; penalty:conflicting_model
1078,1113,0.84,no_merge,"Escova Secadora, Mondial, Golden Rose, 1200W, 110V - ES-02","Escova Secadora, Mondial, Golden Rose, 1200W, 220V - ES-02",mondial,mondial,amazon_br,amazon_br,19700,19700,,,"brand_match:mondial; title_high:0.96; model_match:1200w,200w,60hz; size_match:490g; color_match:rose; shade_match:golden; pack_match:8; price_close; penalty:conflicting_global_identifier"
1986,2023,0.84,no_merge,GA.MA Italy Secador Gama Eleganza Plus Ceramic Ion - 2100W - 127V Nac,GA.MA Italy Secador Gama Eleganza Plus Ceramic Ion - 2100W - 220V Nac,ga.ma italy professional,ga.ma italy professional,amazon_br,amazon_br,14797,14300,,,"brand_match:ga ma italy professional; title_high:0.97; model_match:100w,2100w; size_match:641g; color_match:preto; shade_match:preto; pack_match:5; category_exact; price_close; penalty:conflicting_global_identifier"
2632,2938,0.84,no_merge,"CARE Lip Oil, Clear Pink, 4,2ml","CARE Lip Oil, Nude Pink, 4,2ml",care natural beauty,care natural beauty,amazon_br,amazon_br,7190,7290,,,brand_match:care natural beauty; title_high:0.90; identifier_match:ean; size_ambiguous; scent_match:coco; pack_match:3; category_exact; price_close; penalty:conflicting_model; penalty:clearly_incompatible_variant
868,1088,0.84,no_merge,Difusor de Cachos Universal Grande para Secadores de Cabelo Todos Modelos,Secador de Cabelo Britânia Bivolt 2100W Íons com Difusor de Cachos,lunnashop,genérico,amazon_br,amazon_br,5994,21470,,,generic_brand; identifier_match:ean; size_ambiguous; penalty:clearly_incompatible_variant; penalty:clearly_incompatible_variant; penalty:clearly_incompatible_variant
868,1095,0.84,no_merge,Difusor de Cachos Universal Grande para Secadores de Cabelo Todos Modelos,Secador de Cabelo Profissional PSA3250 2100W Íon Tourmaline com Difusor de Cachos - 220v,lunnashop,genérico,amazon_br,amazon_br,5994,23470,,,generic_brand; identifier_match:ean; size_ambiguous; penalty:clearly_incompatible_variant; penalty:clearly_incompatible_variant; penalty:clearly_incompatible_variant
1088,1095,0.84,no_merge,Secador de Cabelo Britânia Bivolt 2100W Íons com Difusor de Cachos,Secador de Cabelo Profissional PSA3250 2100W Íon Tourmaline com Difusor de Cachos - 220v,genérico,genérico,amazon_br,amazon_br,21470,23470,,,"generic_brand; title_medium:0.80; identifier_match:ean; model_match:10cm,17cm,2100w; size_ambiguous; color_match:preto; shade_match:preto; category_exact; price_close; penalty:clearly_incompatible_variant"
928,937,0.84,no_merge,Shark FlexStyle Secador de cabelo e modelador 127v para cabelos lisos e ondulados,Shark FlexStyle Secador de cabelo e modelador 220v para cabelos lisos e ondulados,shark,shark,amazon_br,amazon_br,190300,190300,,,brand_match:shark; title_high:0.97; size_match:700g; color_match:rose; shade_match:rose; pack_match:5; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
979,1056,0.84,no_merge,"Escova Secadora Mallory Sublime Liss 3 em 1, 1200W, 2 Velocidades, Cerdas Mistas, Íon Tourmaline, 3 Temperaturas – 127V","Escova Secadora Mallory Sublime Liss 3 em 1, 1200W, 2 Velocidades, Cerdas Mistas, Íon Tourmaline, 3 Temperaturas – 220V",mallory,mallory,amazon_br,amazon_br,7791,14900,,,"brand_match:mallory; title_high:0.98; model_match:1200w,200w; size_match:530g; color_match:preto; shade_match:preto; pack_match:9; category_exact; penalty:conflicting_global_identifier"
