source_id,dedupe_id,retailer,name_raw,brand_raw,price_cents,sku,dimension,canonical_name,canonical_brand,cluster_confidence,decision,explanation
1595,prod_060c7c9aea07,amazon_br,"Máquina de lixa elétrica portátil para unhas, kit de unhas, kit de manicure, ferramentas de pedicure, melhores presentes para mulheres e meninas",walmeck,2680,B08CKGSMJG,,"Máquina de lixa elétrica portátil para unhas, kit de unhas, kit de manicure, ferramentas de pedicure, melhores presentes para mulheres e meninas",walmeck,1.0,singleton,
1596,prod_ee8abc188469,amazon_br,"Conjunto de 4 cortadores de unhas, ferramentas de beleza, conjunto portátil, 4 em 1, adequado para viagem, kit de manicure de viagem, kit de conjunto de unhas com tudo profe, verde",generic,2310,B0DP2K7TDG,,"Conjunto de 4 cortadores de unhas, ferramentas de beleza, conjunto portátil, 4 em 1, adequado para viagem, kit de manicure de viagem, kit de conjunto de unhas com tudo profe, verde",generic,1.0,singleton,
1597,prod_3738f2650c38,amazon_br,1 Conjunto Máquina Removedora De Cutícula Broca De Remoção De Unhas Retificadora De Pedicure Máquina De Polir Lixadeira De Unhas Branco Portátil Ferramentas De Manicure,beaupretty,5690,B08TQKDFXS,,1 Conjunto Máquina Removedora De Cutícula Broca De Remoção De Unhas Retificadora De Pedicure Máquina De Polir Lixadeira De Unhas Branco Portátil Ferramentas De Manicure,beaupretty,1.0,singleton,
1598,prod_037880d21045,amazon_br,"Kit com Luva Plástica 100 Unidades + Bota Plástica 100 Unidades, Manicure, Pedicure",arte sedução,2490,B0B993PJWB,,"Kit com Luva Plástica 100 Unidades + Bota Plástica 100 Unidades, Manicure, Pedicure",arte sedução,1.0,singleton,
1600,prod_0c774d8e1e30,amazon_br,Lixadeira Motor Elétrica Porquinho com Pedal para Unhas Nail Drill Profissional - Lixadeira Manicure Pedicure - Bivolt 110v - 220v 45.000 RPM,generic,26580,B0CWYH7Y8G,,Lixadeira Motor Elétrica Porquinho com Pedal para Unhas Nail Drill Profissional - Lixadeira Manicure Pedicure - Bivolt 110v - 220v 45.000 RPM,generic,1.0,singleton,
1601,prod_f161352bf65f,amazon_br,"Conjunto de manicure, kit profissional de manicure e pedicure, conjunto de cortadores de unhas de aço inoxidável 11 em 1 com estojo de viagem de couro requintado para homens e mulheres",kt-gary,47268,B0FHRFR4RC,,"Conjunto de manicure, kit profissional de manicure e pedicure, conjunto de cortadores de unhas de aço inoxidável 11 em 1 com estojo de viagem de couro requintado para homens e mulheres",kt-gary,1.0,singleton,
1602,prod_61f348dbfc99,amazon_br,Kit Manicure E Pedicure Completo 7 Peças Portátil Em Aço Inoxidável Com Estojo Premium – Cuidados Profissionais Para Mãos E Pés Onde Quer Que Você Esteja (ESTAMPA ALEATORIA),genérico,2400,B0FVZHS7YT,,Kit Manicure E Pedicure Completo 7 Peças Portátil Em Aço Inoxidável Com Estojo Premium – Cuidados Profissionais Para Mãos E Pés Onde Quer Que Você Esteja (ESTAMPA ALEATORIA),genérico,1.0,singleton,
1603,prod_9ab5e1675014,amazon_br,100 Peças Brocas de Unhas de Aço de Tungstênio de Quartzo Brocas de Arquivo Elétricas Profissionais para Manicure e Pedicure,ymiko,21599,B0DQP8V8ZJ,,100 Peças Brocas de Unhas de Aço de Tungstênio de Quartzo Brocas de Arquivo Elétricas Profissionais para Manicure e Pedicure,ymiko,1.0,singleton,
1604,prod_422237776eeb,amazon_br,"Máquina elétrica portátil de lixa de unhas para unhas, kit de unhas de gel, kit de manicure, ferramentas de pedicure, melhor para mulheres, branco",generic,4854,B0DY7WP21S,,"Máquina elétrica portátil de lixa de unhas para unhas, kit de unhas de gel, kit de manicure, ferramentas de pedicure, melhor para mulheres, branco",generic,1.0,singleton,
6775,prod_c3c39c9e5ebc,amazon_br,K por Dolce & Gabbana por Dolce & Gabbana Eau De Parfum Spray 3.3 oz para homens,dolce & gabbana,59000,B08B7TZY6K,3.3oz,K por Dolce & Gabbana por Dolce & Gabbana Eau De Parfum Spray 3.3 oz para homens,dolce & gabbana,1.0,singleton,
1605,prod_2fdd02f8f122,amazon_br,"10 peças de lixa de unha marrom, ferramentas de manicure e pedicure para uso em salão doméstico",generic,5403,B0FZL154Y3,,"10 peças de lixa de unha marrom, ferramentas de manicure e pedicure para uso em salão doméstico",generic,1.0,singleton,
1606,prod_2121f1b445f6,amazon_br,"Conjunto de brocas de unhas de diamante com 30 peças, kit de brocas de cutícula de diamante, ferramentas de remoção de manicure e pedicure para unhas de gel de acrílico, limpador de cutículas",kazipop,9938,B0FKM27SXS,,"Conjunto de brocas de unhas de diamante com 30 peças, kit de brocas de cutícula de diamante, ferramentas de remoção de manicure e pedicure para unhas de gel de acrílico, limpador de cutículas",kazipop,1.0,singleton,
1607,prod_90f919999619,amazon_br,"MR.GREEN Cortador de Unhas Encravadas de Aço Inoxidável, Cortador de Unhas Grossas e Duras, Ferramentas de Manicure para Pedicure (Verde + Removedor de Unhas)",mr.green,17398,B0BXZZRYVL,,"MR.GREEN Cortador de Unhas Encravadas de Aço Inoxidável, Cortador de Unhas Grossas e Duras, Ferramentas de Manicure para Pedicure (Verde + Removedor de Unhas)",mr.green,1.0,singleton,
1608,prod_b08fff87998d,amazon_br,"Lixa Mini Polidora, Unhas, Manicure Pedicure, Arte Sedução, 100 unidades",arte sedução,5990,B099NBRBKL,,"Lixa Mini Polidora, Unhas, Manicure Pedicure, Arte Sedução, 100 unidades",arte sedução,1.0,singleton,
1609,prod_ead98e0e365d,amazon_br,Espátula Dupla Aço Inox NYBC Beauty: Precisão e Segurança para Manicure e Pedicure,nybc,1490,B0C51KWGZ5,,Espátula Dupla Aço Inox NYBC Beauty: Precisão e Segurança para Manicure e Pedicure,nybc,1.0,singleton,
1610,prod_65ccba0dc079,amazon_br,Escova Para Unhas Limpeza Unha Manicure Salão Limpa Unha (x 3un),chic & fun,1898,B0D3CLMCQQ,,Escova Para Unhas Limpeza Unha Manicure Salão Limpa Unha (x 3un),chic & fun,1.0,singleton,
1611,prod_fc1d7734529e,amazon_br,"Lixadeira Elétrica Profissional para Unhas, Rosa, 20.000 RPM, Bivolt, Controle de Velocidade Ajustável, Compacta e Portátil, para Manicure e Pedicure",genérico,3990,B0G3B5KHYC,,"Lixadeira Elétrica Profissional para Unhas, Rosa, 20.000 RPM, Bivolt, Controle de Velocidade Ajustável, Compacta e Portátil, para Manicure e Pedicure",genérico,1.0,singleton,
1612,prod_93ee12e112ba,amazon_br,Grande Alicate Cortador De Unhas Manicure Pedicure Desencravador De Unha Grossa Encravada(Vermelho),genérico,2599,B0FXWZGKKK,,Grande Alicate Cortador De Unhas Manicure Pedicure Desencravador De Unha Grossa Encravada(Vermelho),genérico,1.0,singleton,
1613,prod_2a7bcf3804dc,amazon_br,"SYANG Lixadeira Elétrica Profissional de Unha Manicure e Pedicure, Bivolt, Metal, Uso Profissional",syang,4099,B09M7GBHTP,,"SYANG Lixadeira Elétrica Profissional de Unha Manicure e Pedicure, Bivolt, Metal, Uso Profissional",syang,1.0,singleton,
1614,prod_23bfd8a26fde,amazon_br,Kit 4 Escovinhas de Aço Para Limpeza de Brocas Pincéis Unhas Manicure Pedicure Adesivo,arte sedução,3690,B0C2FJMZKQ,,Kit 4 Escovinhas de Aço Para Limpeza de Brocas Pincéis Unhas Manicure Pedicure Adesivo,arte sedução,1.0,singleton,
6212,prod_f406988bccd8,amazon_br,Perfume Yves Saint Laurent Mon Paris Eau de Parfum Feminino 90ML,yves saint laurent,73950,B01H2D7G72,90ml,Perfume Yves Saint Laurent Mon Paris Eau de Parfum Feminino 90ML,yves saint laurent,1.0,singleton,
1615,prod_d56081031c3b,amazon_br,"Cortador De Unhas GRANDE Para Mão e Pé Classico De Aço Carbono Niquelado Forjado Com Lixa Prateado, Pedicure e Manicure, P/Unha Grossa",playshop eletronicos,1300,B0CTGW12G5,,"Cortador De Unhas GRANDE Para Mão e Pé Classico De Aço Carbono Niquelado Forjado Com Lixa Prateado, Pedicure e Manicure, P/Unha Grossa",playshop eletronicos,1.0,singleton,
1616,prod_c1766016f621,amazon_br,"Kit com 5 Pincéis e Boleadores Unhas para Decoração Nail Art Desenho, Manicure Pedicure",genérico,2990,B0G4DSMVD5,,"Kit com 5 Pincéis e Boleadores Unhas para Decoração Nail Art Desenho, Manicure Pedicure",genérico,1.0,singleton,
1617,prod_a55452967212,amazon_br,Conjuntos de cortadores de unhas de aço inoxidável de alta precisão kit de pedicure lixa de unha afiada tesoura e cortador de unhas manicure kit de pedicure unhas e unhas dos pés com,qlne,8073,B07L1RKDNF,,Conjuntos de cortadores de unhas de aço inoxidável de alta precisão kit de pedicure lixa de unha afiada tesoura e cortador de unhas manicure kit de pedicure unhas e unhas dos pés com,qlne,1.0,singleton,
1618,prod_deccc3d8f76c,amazon_br,"Victorinox, Pinças de cutícula, manicure suíça, pedicure, para homens, mulheres, ultra afiadas, pequenas, aço inoxidável, prata",victorinox,15990,B001U5B6EI,,"Victorinox, Pinças de cutícula, manicure suíça, pedicure, para homens, mulheres, ultra afiadas, pequenas, aço inoxidável, prata",victorinox,1.0,singleton,
1619,prod_4144a50012a2,amazon_br,"Buba, Kit Manicure Branco",buba,1989,B09WBXVKVB,,"Buba, Kit Manicure Branco",buba,1.0,singleton,
6776,prod_72efe126045f,amazon_br,HUGO BOSS THE SCENT MAG M EDP 50ML M,hugo boss,35113,B0BNNSSZSN,50ml,HUGO BOSS THE SCENT MAG M EDP 50ML M,hugo boss,1.0,singleton,
1621,prod_510b67b924c2,amazon_br,"Palitos de Bambu para Manicure e Pedicure, 14 cm, Dupla Ponta, 1 Lado Chanfrado e 1 Lado Ponta, 1000 Unidades",o broto de flor,5980,B0F3QKLYQX,,"Palitos de Bambu para Manicure e Pedicure, 14 cm, Dupla Ponta, 1 Lado Chanfrado e 1 Lado Ponta, 1000 Unidades",o broto de flor,1.0,singleton,
1622,prod_948b13c7ba36,amazon_br,"Cabine LED/UV para Unhas, 48W-54W, Secagem R�pida, Sensor Autom�tico, Timer Digital, Manicure e Pedicure- secador de unhas em gel",genérico,4399,B0FN977G7V,,"Cabine LED/UV para Unhas, 48W-54W, Secagem R�pida, Sensor Autom�tico, Timer Digital, Manicure e Pedicure- secador de unhas em gel",genérico,1.0,singleton,
1623,prod_36510bd9ce04,amazon_br,Flash Limp - Esponja Microfibra para Banho,sunguider eireli,399,B08D9TGTZJ,,Flash Limp - Esponja Microfibra para Banho,sunguider eireli,1.0,singleton,
1624,prod_337b1b291a6d,amazon_br,"NIVEA Sabonete Líquido Óleo de Banho 200ml - Com 55% de óleos naturais, produz espuma cremosa e proporciona hidratação intensa, maciez e cuidado único com a pele",nivea,2556,B00XDX9JJY,200ml,"NIVEA Sabonete Líquido Óleo de Banho 200ml - Com 55% de óleos naturais, produz espuma cremosa e proporciona hidratação intensa, maciez e cuidado único com a pele",nivea,1.0,singleton,
6149,prod_11157b669515,amazon_br,Polo Sport By Ralph Lauren Eau De Toilette Masculino 125 ml,ralph lauren fragrances,33155,B0009OAGWE,125ml,Polo Sport By Ralph Lauren Eau De Toilette Masculino 125 ml,ralph lauren fragrances,1.0,singleton,
1625,prod_818c3ca96b18,amazon_br,ESPONJA BANHO CORPUS ESFOLIANTE,esfrelux,325,B094RKF86R,,ESPONJA BANHO CORPUS ESFOLIANTE,esfrelux,1.0,singleton,
