threshold,precision,recall,f1,tp,fp,fn
0.6900000000000001,0.9511213341000575,0.992797118847539,0.9715124816446403,1654,85,12
0.7000000000000001,0.9521889400921659,0.9921968787515006,0.9717813051146384,1653,83,13
0.7100000000000001,0.9532871972318339,0.9921968787515006,0.9723529411764706,1653,81,13
0.7200000000000001,0.9537839399191219,0.9909963985594238,0.9720341477774507,1651,80,15
0.7300000000000001,0.9565217391304348,0.9903961584633854,0.9731642583308758,1650,75,16
0.7400000000000001,0.9581881533101045,0.9903961584633854,0.974025974025974,1650,72,16
0.7500000000000001,0.959837019790454,0.9897959183673469,0.9745862884160755,1649,69,17
0.76,0.9603960396039604,0.9897959183673469,0.9748743718592964,1649,68,17
0.77,0.9614711033274956,0.9885954381752701,0.9748446285883396,1647,66,19
0.78,0.9625949736995909,0.9885954381752701,0.9754219721646432,1647,64,19
0.79,0.9631363370392042,0.9879951980792316,0.9754074074074073,1646,63,20
0.8,0.9659424544920728,0.9873949579831933,0.9765509053131493,1645,58,21
0.81,0.9682165979988229,0.9873949579831933,0.9777117384843982,1645,54,21
0.8200000000000001,0.96875,0.9861944777911165,0.9773944080904223,1643,53,23
0.8300000000000001,0.9698581560283688,0.9849939975990396,0.9773674806432401,1641,51,25
0.8400000000000001,0.971547125074096,0.9837935174069627,0.9776319713689233,1639,48,27
0.8500000000000001,0.9732620320855615,0.9831932773109243,0.9782024484920872,1638,45,28
0.8600000000000001,0.9749702026221693,0.9819927971188476,0.978468899521531,1636,42,30
0.8700000000000001,0.9755077658303465,0.9801920768307323,0.9778443113772455,1633,41,33
0.8800000000000001,0.9760908547519426,0.9801920768307323,0.978137166816412,1633,40,33
0.89,0.9784172661870504,0.9795918367346939,0.979004199160168,1632,36,34
0.9,0.9813253012048193,0.9777911164465787,0.9795550210463019,1629,31,37
0.91,0.9842615012106537,0.9759903961584634,0.9801084990958409,1626,26,40
0.92,0.9842328684050939,0.9741896758703481,0.9791855203619909,1623,26,43
0.93,0.9859413202933985,0.968187274909964,0.9769836462749849,1613,23,53
0.9400000000000001,0.9882860665844636,0.9621848739495799,0.9750608272506083,1603,19,63
0.9500000000000001,0.9894212818917237,0.9543817527010804,0.9715857011915673,1590,17,76
0.9600000000000001,0.990530303030303,0.9417767106842737,0.9655384615384615,1569,15,97
0.9700000000000001,0.9903474903474904,0.9237695078031213,0.9559006211180124,1539,15,127
0.9800000000000001,0.9925220938137321,0.8763505402160864,0.9308256295824034,1460,11,206
0.99,0.9966694421315571,0.7184873949579832,0.8350191838158354,1197,4,469
